speaker	recording	vowel	label	F1	F2	include
B	10	24	a	1167.8406056262427	2657.651954516253	1
B	10	25	u:	925.9349156025897	2554.404694432469	1
B	10	26	u:	1884.6899236987344	2538.1520301589794	1
B	10	27	e:	1457.1210520572313	2396.083466060746	1
B	10	28	a	1222.9780164452168	2490.838555849855	1
B	10	29	e:	1604.5537018835407	2627.974744999034	1
B	10	30	O	1286.9326505705776	2790.7758550388644	0
B	10	31	2:	1261.839382403221	2222.585678887011	1
B	10	32	@	2253.108379129313	2474.2721466232433	1
B	10	33	I	2162.8903906335454	2528.0092684323185	1
B	10	34	i:	1946.0194259143657	2524.233997713637	1
B	10	35	I	2203.537837149638	2469.489982950185	1
B	10	36	a	958.5474002606695	2486.0649353436593	1
B	10	37	u	1616.3609042155674	2244.286065815257	1
B	10	38	a	1073.0087277355703	2148.418791602649	1
B	10	39	@	1449.6353490966908	2368.9660662541432	1
B	10	40	E:	1560.6042423055017	2690.849491461894	1
B	10	41	a	1312.2660886142578	2448.6904845662107	1
B	10	42	@	1431.6204482849878	2506.3338728106974	1
B	10	43	E	1908.3453621293106	2426.055882343658	1
J	01	0	u:	1163.7670707135962	2458.6944574120694	1
J	01	1	I	1720.1883178474584	2219.5664419167706	1
J	01	2	A:	1023.156334000197	2287.573736715247	1
J	01	3	a	1246.5405813347895	2132.0988239438243	1
J	01	4	2	1347.5946090947848	1906.7580897571336	1
J	01	5	U	1190.7988635919942	2234.8652163394872	1
J	01	6	A:	1006.8776111358977	2395.585805321049	1
J	01	7	a	1301.8515268007213	2234.4154683638253	1
J	01	8	a	1106.2713867083976	2484.655842770562	1
J	01	9	o:	919.8775498063458	2525.907002495064	1
J	02	0	Y	1606.1970406594812	2367.910283662584	1
J	02	1	a	1171.7068420067876	2374.629407663696	1
J	02	2	E	1415.0854038625373	2394.655928715377	1
J	02	3	I	1436.9985484978592	2484.1751595484247	1
J	02	4	E	1349.1622452156942	2410.177578417664	1
J	02	5	A:	1200.07643032803	2455.685085381648	1
J	02	6	I	1470.4632316089549	2449.8649081908907	1
J	02	7	i:	1694.3773958920376	2216.690745403151	1
J	02	8	u:	1071.4921719201648	2428.976459259632	1
J	02	9	I	1611.4583510807984	2174.4800744376385	1
J	02	10	A:	1001.0765175187668	2237.405416845025	1
J	02	11	a	1264.8388039838794	2248.3829106767002	1
J	02	12	2:	1390.1735272675096	1886.4800539360358	1
J	02	13	E	1559.3459573164214	2063.9644549034288	0
J	02	14	U	1265.1274799271666	2276.2966767628404	1
J	02	15	A:	999.3965737102813	2424.40751139089	1
J	02	16	a	1340.9278279996538	2127.2296918822944	1
J	02	17	a	1229.4735736916286	2615.30064130583	1
J	02	18	o:	961.9392300595904	2315.4306674583813	1
J	02	19	O	970.5993287015008	2252.5053437672677	1
J	02	20	I	1574.1954754715691	2000.6179833756464	1
J	02	21	@	1361.9726642706094	2297.0502709249618	1
J	02	22	E:	1288.522695987181	2378.354531574031	1
J	02	23	@	1444.6513008713405	2309.1411222990155	1
J	02	24	Y	1649.8936637602073	2290.317249708292	1
J	02	25	a	1366.509998792655	2307.7281630744974	1
J	02	26	o:	960.4640007681238	2409.479536110625	1
J	02	27	E	1173.0339461994433	2212.8632787844135	1
J	02	28	I	1481.6293175658732	1988.0886667764184	1
J	02	29	O	1169.0805617838084	2209.2433311760205	1
J	02	30	A:	1005.5582592191123	2600.05651766234	1
J	02	31	I	1504.9728653772743	2406.434525358393	1
J	02	32	2:	1287.2861170507158	2277.4202103489984	1
J	02	33	I	1676.3538102731118	2021.1996473773488	1
J	02	34	o:	1117.916858792829	2232.969150411868	1
J	02	35	i:	1873.1426595399228	2523.617442530837	1
J	02	36	@	1444.9856032344449	2184.3653356500063	1
J	02	37	i:	1798.488313759744	2170.488627223935	1
J	02	38	u:	1191.239482401861	2373.368179101745	1
J	02	39	u:	1316.657773970885	2030.2550597881768	1
J	02	40	e:	1859.1584158278756	2270.6935870591815	1
J	02	41	a	1500.7357943666095	2261.5744374564943	1
J	03	0	a	1131.548052225453	2332.3813519243135	1
J	03	1	A:	1056.8554585192155	2403.9133871096033	1
J	03	2	a	1251.4667787329897	2383.7844578536187	1
J	03	3	I	1619.5806388471347	2206.0986573217906	1
J	03	4	I	1704.4311230750216	2213.503743503496	1
J	03	5	a	1484.6116853883236	2094.4044979915916	1
J	03	6	o:	988.6552999607758	2330.2742872679037	1
J	03	7	O	1081.1766904661104	1934.2155713202706	1
J	03	8	A:	971.9053018203316	2433.0449968948756	1
J	03	9	o:	1067.265033500473	2404.207568426753	1
J	03	10	@	1396.379137424038	2343.9370370710603	1
J	03	11	o:	1351.3812106282537	2390.53918677642	1
J	03	12	e:	1638.267010539333	2137.5077175083047	1
J	03	13	o:	1276.8164922710425	2476.7310809245905	1
J	03	14	E:	1449.8579894831569	2102.3842527669376	1
J	03	15	@	1455.7523107819486	2344.327947433391	1
J	03	16	O	1280.2128071950017	2268.4154811281505	1
J	03	17	I	1584.2936177354597	2226.8159036336506	1
J	03	18	e:	1730.2303889036139	2329.961820603531	1
J	03	19	a	1480.3957948607879	2137.9588188613407	1
J	03	20	a	1334.492236814749	2331.597383912053	1
J	03	21	Y	1673.3174219878124	2230.4530023126763	1
J	03	22	@	1583.4406352879862	2206.1022742351397	1
J	03	23	I	1744.7859302495854	2286.9553188332884	1
J	03	24	a	1458.6402108349705	2277.7846410462957	1
J	03	25	@	1484.8692525816707	2284.8854648555957	1
J	03	26	E	1493.2237326880318	2386.5838501692438	1
J	03	27	a	1479.5279350596245	2351.4887110439113	1
J	03	28	e:	1666.1623027469755	2196.7288267526833	1
J	03	29	a	1442.9936747818433	2073.9899941444373	1
J	03	30	O	1109.2412492143662	2210.0223360534847	1
J	03	31	I	1705.2774308458447	2227.0588437602837	1
J	03	32	@	1237.512783738283	2298.0630302750137	1
J	04	0	a	1079.048050987942	2698.1600847628297	1
J	04	1	@	1369.211803481872	2519.8099083850448	1
J	04	2	E:	1454.7093223675643	2082.4943105369784	1
J	04	3	a	1428.200481637568	2239.472751249771	1
J	04	4	e:	1618.2865288355458	2211.5206015284807	1
J	04	5	a	1299.0252427701616	2450.909259391758	1
J	04	6	I	1644.3195436344147	2226.1109066966424	1
J	04	7	E	1746.3097700508947	2097.6291633907185	0
J	04	8	U	1179.3639232283701	2300.510031449157	1
J	04	9	A:	1029.493927257001	2397.598272174588	1
J	04	10	a	1324.7872204904677	2188.395503780977	1
J	04	11	a	1117.842537351559	2592.4734325376708	1
J	04	12	o:	958.1849518819749	2503.137395728253	1
J	04	13	e:	1480.815920772224	2242.7923133982226	1
J	04	14	E	1498.9610947139854	2409.8116382655003	0
J	04	15	u:	1261.894437462178	2338.73185505936	1
